"name","phone","fax","website","type","industry","NumberOfEmployees","annualrevenue","description","billingstreet","billingcity","billingstate","billingpostalcode","billingcountry","shippingstreet","shippingcity","shippingstate","shippingpostalcode"
"Zoonoodle 37","1(302)556-4395","1(256)771-8962","http://1688.com/at/nunc/commodo/placerat/praesent/blandit.aspx","Customer","n/a",28549,5117586,"-1","4 Del Mar Pass","Newark","DE","19725","United States","85 Burning Wood Hill","Huntsville","AL","35895"
"Quire 203","1(260)120-2439","1(617)202-1627","http://liveinternet.ru/dis/parturient/montes.jpg","Integrator","Industrial Machinery/Components",40857,7148094,"NIL","8892 Vera Court","Fort Wayne","IN","46857","United States","2 Moose Drive","Boston","MA","02203"
"Teklist 138","1(303)375-6956","1(518)585-7903","http://timesonline.co.uk/magnis/dis/parturient/montes.json","Press","Automotive Aftermarket",64462,6783775,"áš€","612 Brentwood Court","Denver","CO","80204","United States","388 Ramsey Lane","Albany","NY","12210"
"Omba 230","1(813)623-8785","1(530)401-3006","http://vk.com/congue/eget/semper/rutrum.png","Press","Major Chemicals",5986,6034787,"ï¼‘ï¼’ï¼“","9 Del Mar Circle","Tampa","FL","33647","United States","900 Dexter Court","South Lake Tahoe","CA","96154"
"Skinte 246","1(903)994-3245","1(309)733-2356","http://yolasite.com/lectus/in.jpg","Analyst","n/a",60466,4242197,"test","36 Manufacturers Alley","Texarkana","TX","75507","United States","04233 Aberg Court","Peoria","IL","61635"
"Wikido 151","1(805)356-3173","1(847)621-1458","http://mediafire.com/tortor/quis/turpis/sed/ante.png","Competitor","Industrial Machinery/Components",33024,9717493,"ãƒ½à¼¼àºˆÙ„Íœàºˆà¼½ï¾‰ ãƒ½à¼¼àºˆÙ„Íœàºˆà¼½ï¾‰ ","85 Sycamore Alley","San Luis Obispo","CA","93407","United States","70035 Chinook Plaza","Palatine","IL","60078"
"Flashset 156","1(650)937-3255","1(256)303-9647","http://ocn.ne.jp/a/feugiat/et/eros/vestibulum/ac.jpg","Integrator","Major Banks",20530,8321985,"-1","2 Duke Alley","Palo Alto","CA","94302","United States","236 Waubesa Park","Anniston","AL","36205"
"Kwinu 183","1(262)853-1889","1(661)231-2829","http://domainmarket.com/ante.aspx","Partner","Military/Government/Technical",69319,2583180,"ï¼‘ï¼’ï¼“","6138 Knutson Street","Racine","WI","53405","United States","04 Algoma Trail","Palmdale","CA","93591"
"Meetz 73","1(206)160-9610","1(419)251-6150","http://altervista.org/augue/vestibulum/ante/ipsum.jpg","Partner","Commercial Banks",66761,7213610,"test","3 Waubesa Lane","Bellevue","WA","98008","United States","0251 Columbus Drive","Toledo","OH","43610"
"Blogtags 78","1(813)682-1553","1(760)847-1743","https://toplist.cz/sapien/cursus/vestibulum/proin.html","Customer","n/a",8007,808461,"1E2","8 Alpine Street","Tampa","FL","33686","United States","4618 Northview Crossing","San Bernardino","CA","92415"
"Jabbertype 157","1(702)754-6401","1(516)380-0375","https://wisc.edu/libero.jsp","Reseller","Biotechnology: Laboratory Analytical Instruments",39197,5963912,"Ì¡Í“Í…ÌIÍÌ—Ì˜Ì¦nÍ‡Í‡Í™vÌ®Ì«okÌ²Ì«Ì™ÍˆiÌ–Í™Ì­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍˆÍ™Ì­Í™Ì¬Í Ì°tÍ”Ì¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²Í–fÌ´Ì˜Í•Ì£eÍ€Í–eÌ£Ì¥Ì©lÍ–Í”ÍšiÍ Í“ÍšÌ¦nÍ–ÍÌ—Í“Ì³Ì®gÍ Ì¨oÍ¡ÍšÌªfÌ˜Ì£Ì¬ Ì–Ì˜Í–ÌŸÍ™Ì®cÒ‰Í”Ì«Í–Í“Í‡Í–Í…hÌµÌ¤Ì£ÍšÍ”aÍÌ—Ì¼Í…Í•oÌ¼Ì£Ì¥sÍ¢Ì±ÍˆÌºÌ–Ì¦Ì».Ì›Ì–ÌÌ Ì«Ì°","5 Duke Terrace","Santa Barbara","CA","93111","United States","77 Novick Trail","Port Washington","NY","11054"
"Skippad 225","1(330)879-3889","1(916)892-9677","https://xinhuanet.com/mauris/viverra/diam/vitae.js","Reseller","Real Estate Investment Trusts",26613,3512782,"ï»¿","07 Judy Drive","Akron","OH","44321","United States","30 Leroy Lane","Sacramento","CA","94245"
"Zooxo 42","1(410)627-6486","1(804)351-7031","http://desdev.cn/purus/aliquet/at/feugiat.js","Partner","Miscellaneous manufacturing industries",27207,6494930,"/dev/null; touch /tmp/blns.fail ; echo","0 Artisan Lane","Baltimore","MD","21229","United States","165 Westport Road","Richmond","VA","23242"
"JumpXS 67","1(541)224-4110","1(651)529-0471","http://microsoft.com/morbi/quis/tortor/id/nulla/ultrices/aliquet.html","Integrator","Investment Bankers/Brokers/Service",69955,6288235,"1","6 Goodland Trail","Eugene","OR","97405","United States","4 Mccormick Hill","Saint Paul","MN","55146"
"Blogtags 102","1(646)223-9478","1(806)878-4086","https://acquirethisname.com/nullam/orci/pede/venenatis/non.xml","Competitor","Industrial Specialties",22708,9182592,"Ì¡Í“Í…ÌIÍÌ—Ì˜Ì¦nÍ‡Í‡Í™vÌ®Ì«okÌ²Ì«Ì™ÍˆiÌ–Í™Ì­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍˆÍ™Ì­Í™Ì¬Í Ì°tÍ”Ì¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²Í–fÌ´Ì˜Í•Ì£eÍ€Í–eÌ£Ì¥Ì©lÍ–Í”ÍšiÍ Í“ÍšÌ¦nÍ–ÍÌ—Í“Ì³Ì®gÍ Ì¨oÍ¡ÍšÌªfÌ˜Ì£Ì¬ Ì–Ì˜Í–ÌŸÍ™Ì®cÒ‰Í”Ì«Í–Í“Í‡Í–Í…hÌµÌ¤Ì£ÍšÍ”aÍÌ—Ì¼Í…Í•oÌ¼Ì£Ì¥sÍ¢Ì±ÍˆÌºÌ–Ì¦Ì».Ì›Ì–ÌÌ Ì«Ì°","417 Northport Way","New York City","NY","10175","United States","88786 Meadow Ridge Junction","Amarillo","TX","79165"
"Yata 245","1(713)156-0740","1(816)374-9076","http://ning.com/vel.jsp","Reseller","n/a",61154,4201454,"nil","78 Nelson Point","Houston","TX","77266","United States","643 Marcy Avenue","Kansas City","MO","64187"
"Trilia 186","1(585)506-4181","1(256)895-4095","http://sun.com/ac/neque/duis/bibendum/morbi/non/quam.js","Integrator","Major Chemicals",3081,5647636,"Ã…ÃÃÃËÃ“Ã”ï£¿Ã’ÃšÃ†â˜ƒ","8656 Melody Parkway","Rochester","NY","14652","United States","52004 Reindahl Parkway","Huntsville","AL","35815"
"Babbleset 84","1(918)628-7037","1(904)612-6356","http://salon.com/imperdiet/nullam/orci/pede/venenatis.jpg","Integrator","Broadcasting",51378,3467932,"<img src=x onerror=alert('hi') />","4 West Pass","Tulsa","OK","74149","United States","07483 Luster Pass","Jacksonville","FL","32277"
"Katz 9","1(518)308-4476","1(770)338-6726","http://example.com/hac.jsp","Integrator","Natural Gas Distribution",47500,8601041,"00Ë™Æ–$-","700 Straubel Circle","Albany","NY","12262","United States","88 Dennis Point","Marietta","GA","30061"
"Gabtune 23","1(202)768-1985","1(313)719-9988","https://amazon.de/ullamcorper/augue.js","Investor","n/a",47210,913356,"1;DROP TABLE users","858 Russell Circle","Washington","DC","20260","United States","6806 Lerdahl Hill","Detroit","MI","48217"
"Quatz 63","1(734)722-2454","1(601)182-5945","https://ask.com/vestibulum/velit/id/pretium/iaculis.js","Investor","Professional Services",46368,4855295,"""'""'""''''""","618 Dawn Road","Ann Arbor","MI","48107","United States","655 Saint Paul Court","Jackson","MS","39210"
"Snaptags 40","1(330)883-1294","1(419)174-6429","http://ebay.co.uk/dolor/vel/est/donec/odio.jpg","Integrator","Property-Casualty Insurers",73274,609037,"() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; }","0319 Stang Plaza","Canton","OH","44760","United States","219 Homewood Court","Toledo","OH","43605"
"Fatz 2","1(801)285-8107","1(816)127-5002","http://ft.com/mattis/nibh/ligula/nec/sem/duis/aliquam.jpg","Investor","Oil & Gas Production",64173,7609109,"""""","0 Springs Crossing","Salt Lake City","UT","84199","United States","0 Orin Crossing","Kansas City","MO","64101"
"Babblestorm 192","1(816)273-0667","1(213)715-5233","https://vimeo.com/felis/fusce/posuere.jpg","Integrator","EDP Services",62772,9614729,"â€ªâ€ªtestâ€ª","913 Mesta Way","Kansas City","MO","64142","United States","531 Crest Line Junction","Los Angeles","CA","90045"
"Feedbug 99","1(260)593-5521","1(757)414-3924","https://adobe.com/viverra/eget/congue/eget/semper.aspx","Competitor","Major Pharmaceuticals",44764,8820681,"â¡","87470 Elmside Drive","Fort Wayne","IN","46857","United States","62 Sunfield Crossing","Portsmouth","VA","23705"
"Katz 101","1(678)612-1264","1(785)388-2912","https://ehow.com/pede/ullamcorper/augue.xml","Reseller","Fast Food - made whole",25664,4858052,"Ì¦HÍÌ¬Ì¤Ì—Ì¤eÍœ ÍÌœÌ¥ÌÌ»ÍÌŸwÌ•hÌ–Ì¯Í“oÌÍ™Ì–ÍÌ±Ì® Ò‰ÌºÌ™ÌÌŸÍˆWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍˆÍ•Ì­Í™Ì¯ÌœtÌ¶Ì¼Ì®sÌ•Ì˜Í™Í– Ì Ì«Ì BÌ»ÍÍ…Í™Í‰Ì³eÌµhÌµÌ¬Í‡Ì«Í™iÌ•Ì¹Í“Ì³Ì³Ì®ÍÌ«nÍŸdÌ´ÌªÌœÌ– ÍÌ°Í‰Ì©Í…Í‡Í™Ì²TÍ¢Í–Ì¼Í“ÌªhÍÍ“Ì®Ì»eÌ¬ÌÍ…ÌŸ Ì¤Ì¹ÌWÍÍ…Í™ÌÌÍ”Í‡aÍÍ“Í”Ì¹Ì¼Ì£lÌ´Í”Ì°Ì¤ÌŸÍ”lÌ­Ì«.Í•","9440 Porter Street","Atlanta","GA","30306","United States","46 Garrison Hill","Topeka","KS","66606"
"Livepath 89","1(209)928-0177","1(626)762-7359","https://jiathis.com/gravida/sem/praesent/id.aspx","Investor","n/a",68647,3046203,"ì‚¬íšŒê³¼í•™ì› ì–´í•™ì—°êµ¬ì†Œ","16366 Bluejay Junction","Stockton","CA","95210","United States","4 Judy Drive","Pasadena","CA","91117"
"Thoughtbridge 78","1(505)810-8428","1(305)489-3299","https://xinhuanet.com/malesuada/in/imperdiet/et.json","Reseller","n/a",31610,2459695,"1","591 Prairieview Court","Albuquerque","NM","87201","United States","1974 Rusk Trail","Naples","FL","33961"
"Photojam 44","1(847)151-6057","1(843)222-0542","https://netscape.com/odio/in.js","Partner","Real Estate Investment Trusts",12132,2740932,"/dev/null; touch /tmp/blns.fail ; echo","53 Bunting Place","Evanston","IL","60208","United States","87630 Pawling Crossing","Charleston","SC","29424"
"Jetpulse 11","1(202)341-2015","1(361)717-0166","https://meetup.com/tincidunt/eu.aspx","Prospect","n/a",27954,8796170,"() { 0; }; touch /tmp/blns.shellshock1.fail;","94 Hoard Terrace","Washington","DC","20397","United States","12 Stoughton Junction","Corpus Christi","TX","78415"
"Ailane 240","1(304)164-4056","1(903)885-0181","http://ftc.gov/in/sagittis.xml","Integrator","Business Services",43139,8496119,"-1E2","6739 Talisman Road","Charleston","WV","25313","United States","39 Oak Road","Tyler","TX","75710"
"Yodel 1","1(718)857-0952","1(786)980-2295","https://auda.org.au/justo/sit.jsp","Reseller","Business Services",72261,9639136,"Â¸Ë›Ã‡â—ŠÄ±ËœÃ‚Â¯Ë˜Â¿","3794 Marquette Place","Jamaica","NY","11436","United States","395 Esker Hill","Miami","FL","33142"
"Jayo 161","1(212)395-7443","1(215)813-5010","http://example.com/quisque/arcu/libero/rutrum/ac/lobortis/vel.html","Analyst","n/a",55498,3990145,"1.00","63 Cambridge Place","New York City","NY","10184","United States","6853 Loeprich Lane","Philadelphia","PA","19109"
"Eadel 255","1(952)607-3802","1(321)509-8230","https://amazon.de/dapibus/nulla/suscipit/ligula.js","Press","Oil & Gas Production",59319,221283,"1","47251 Walton Parkway","Young America","MN","55551","United States","3434 Sullivan Center","Orlando","FL","32803"
"Gabspot 169","1(682)336-6978","1(913)256-2568","https://apache.org/neque/vestibulum.png","Integrator","Slow Food - Made Quickly",57923,230282,"`â„â‚¬â€¹â€ºï¬ï¬‚â€¡Â°Â·â€šâ€”Â±","9962 Kim Crossing","Arlington","TX","76011","United States","13 Myrtle Junction","Shawnee Mission","KS","66215"
"Yodo 133","1(559)504-9621","1(510)597-2453","https://sfgate.com/hac/habitasse/platea/dictumst/aliquam/augue.aspx","Customer","Investment Managers",45892,6858476,"NIL","90 Barby Terrace","Visalia","CA","93291","United States","6 5th Avenue","Richmond","CA","94807"
"Twitterlist 47","1(540)131-4885","1(410)529-3659","https://oaic.gov.au/lobortis/vel/dapibus/at.png","Integrator","Semiconductors",11754,537811,"âœ‹ğŸ¿ ğŸ’ªğŸ¿ ğŸ‘ğŸ¿ ğŸ™ŒğŸ¿ ğŸ‘ğŸ¿ ğŸ™ğŸ¿","0 Red Cloud Park","Roanoke","VA","24004","United States","28 Crowley Crossing","Baltimore","MD","21216"
"Twinte 93","1(816)582-1283","1(248)543-0405","http://sitemeter.com/turpis/eget/elit/sodales/scelerisque/mauris/sit.png","Reseller","n/a",49197,1837498,"Ã¥ÃŸâˆ‚Æ’Â©Ë™âˆ†ËšÂ¬â€¦Ã¦","1 Sutteridge Pass","Kansas City","MO","64179","United States","4799 Red Cloud Point","Southfield","MI","48076"
"Trilia 227","1(214)979-0698","1(502)752-5587","http://gravatar.com/eu.html","Investor","n/a",25748,9980952,"1.00","571 Schmedeman Court","Dallas","TX","75392","United States","94 Clyde Gallagher Junction","Louisville","KY","40256"
"Quimm 109","1(515)418-6274","1(415)961-4792","https://wufoo.com/quis/libero/nullam.js","Integrator","Investment Bankers/Brokers/Service",18574,6771863,"éƒ¨è½æ ¼","08333 Welch Trail","Des Moines","IA","50310","United States","78 Hermina Alley","Oakland","CA","94611"
"Edgeblab 179","1(979)234-4062","1(937)398-3418","http://moonfruit.com/praesent/blandit/lacinia/erat/vestibulum.json","Customer","Major Pharmaceuticals",2480,7098658,"Å’â€Â´â€°Ë‡ÃÂ¨Ë†Ã˜âˆâ€â€™","17 Dottie Drive","Houston","TX","77040","United States","97 Sunfield Lane","Hamilton","OH","45020"
"Dabshots 9","1(513)167-6990","1(585)653-5146","https://theglobeandmail.com/orci/luctus/et/ultrices/posuere/cubilia.png","Customer","Tobacco",40011,7733121,"â‚€â‚â‚‚","5350 Schurz Lane","Cincinnati","OH","45203","United States","45 Ilene Parkway","Rochester","NY","14619"
"Quatz 189","1(602)984-1785","1(310)226-5832","http://friendfeed.com/aenean/lectus/pellentesque/eget/nunc/donec/quis.aspx","Prospect","Major Chemicals",28959,7336070,"ğ œğ œ±ğ ¹ğ ±“ğ ±¸ğ ²–ğ ³","11624 Fuller Lane","Chandler","AZ","85246","United States","20323 Golf Trail","Long Beach","CA","90810"
"Aimbu 90","1(248)330-8469","1(661)807-2246","http://chron.com/in/faucibus/orci.aspx","Integrator","Business Services",54936,8324128,"â¢","972 Reindahl Crossing","Farmington","MI","48335","United States","6193 Calypso Way","Palmdale","CA","93591"
"Photolist 197","1(561)869-5627","1(469)657-1783","http://nature.com/erat/vestibulum/sed/magna/at/nunc/commodo.json","Investor","n/a",36599,2892229,"ãƒ»(ï¿£âˆ€ï¿£)ãƒ»:*:","4 Ruskin Lane","Boca Raton","FL","33499","United States","4 Straubel Pass","Dallas","TX","75236"
"Leexo 118","1(915)552-4584","1(916)317-4260","https://desdev.cn/mauris/eget/massa/tempor/convallis/nulla.html","Partner","n/a",62465,2577501,"1.00","851 Reindahl Road","El Paso","TX","88514","United States","514 Kingsford Park","Sacramento","CA","95823"
"Lajo 225","1(828)853-6134","1(212)844-4064","https://examiner.com/platea/dictumst/morbi/vestibulum.png","Prospect","n/a",64706,9680896,"Ù¡Ù¢Ù£","39 Glacier Hill Avenue","Asheville","NC","28815","United States","5999 Corry Trail","New York City","NY","10260"
"Kaymbo 217","1(323)161-5523","1(559)367-7839","https://google.cn/cum/sociis/natoque/penatibus/et.jpg","Press","Real Estate Investment Trusts",59006,751089,"1;DROP TABLE users","48488 Annamark Junction","Los Angeles","CA","90060","United States","827 Rigney Lane","Fresno","CA","93740"
"Meeveo 197","1(347)846-0637","1(402)258-6433","https://disqus.com/id/ligula/suspendisse/ornare.png","Prospect","Restaurants",41670,3908172,"-1E2","326 Roth Circle","New York City","NY","10019","United States","78 Utah Place","Omaha","NE","68105"
"Layo 134","1(661)459-3568","1(260)591-2293","http://mysql.com/ut/nunc/vestibulum/ante.xml","Partner","n/a",41225,2635123,"ï»¿","7373 Briar Crest Park","Bakersfield","CA","93399","United States","9600 Fisk Hill","Fort Wayne","IN","46862"